timestamp,action,target_decel,cost,predicted_risk,predicted_min_distance,predicted_min_ttc,ext_score,int_score,cross_score,fused_score,fused_level,lead_distance,lead_ttc,closing_speed,lead_warning_level,reasons
1782645343.517,BRAKE,3.50,0.9056,0.9469,4.434,2.460,0.9133,0.0000,0.0000,0.3275,1,5.340,2.460,2.170,2,TTC 2.5s | distance 5.3m | closing 2.2m/s | pred risk 0.95
1782645344.084,BRAKE,3.50,0.9409,0.9900,3.269,1.960,0.9593,0.0000,0.0000,0.3386,1,4.100,1.960,2.090,1,TTC 2.0s | distance 4.1m | closing 2.1m/s | pred risk 0.99
1782645344.640,BRAKE,3.50,0.8823,0.9226,5.089,4.020,0.9048,0.0000,0.0000,0.3305,1,5.570,4.020,1.390,1,TTC 4.0s | distance 5.6m | closing 1.4m/s | pred risk 0.92
1782645345.147,EMERGENCY_BRAKE,6.50,1.1547,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3467,1,4.190,0.430,9.700,2,TTC 0.4s critical | distance 4.2m | closing 9.7m/s | pred risk 1.00
1782645345.697,EMERGENCY_BRAKE,6.50,1.1069,0.9460,1.385,0.730,0.9100,0.0000,0.0000,0.3275,1,2.730,0.730,3.730,2,TTC 0.7s critical | distance 2.7m critical | closing 3.7m/s | pred risk 0.95
1782645346.266,BRAKE,3.50,0.9541,1.0000,2.144,0.983,1.0000,0.0000,0.0000,0.3405,1,8.720,1.340,6.510,1,TTC 1.3s | distance 8.7m | closing 6.5m/s | pred risk 1.00
1782645346.769,EMERGENCY_BRAKE,6.50,1.0857,0.9160,0.000,0.000,0.9044,0.0000,0.0000,0.3288,1,3.390,0.480,7.080,1,TTC 0.5s critical | distance 3.4m | closing 7.1m/s | pred risk 0.92
1782645347.331,BRAKE,3.50,0.9541,1.0000,4.019,1.163,0.9956,0.0000,0.0000,0.3411,1,13.100,1.600,8.180,1,TTC 1.6s | closing 8.2m/s | pred risk 1.00
1782645347.886,EMERGENCY_BRAKE,6.50,1.1409,1.0000,2.350,1.190,1.0000,0.0000,0.0000,0.3499,1,3.160,1.190,2.660,1,TTC 1.2s critical | distance 3.2m | closing 2.7m/s | pred risk 1.00
1782645348.448,SLOW_DOWN,1.50,0.6570,0.7370,10.100,8.180,0.7400,0.0000,0.0000,0.2801,1,10.960,8.180,1.340,1,distance 11.0m | closing 1.3m/s | pred risk 0.74
1782645349.008,EMERGENCY_BRAKE,6.50,1.1495,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.2952,1,7.230,0.440,16.250,1,TTC 0.4s critical | distance 7.2m | closing 16.2m/s | pred risk 1.00
1782645349.562,KEEP,0.00,0.5222,0.6164,10.730,99.000,0.8219,0.0000,0.0000,0.2908,1,10.730,99.000,0.000,1,distance 10.7m | pred risk 0.62
1782645350.121,BRAKE,3.50,0.9215,0.9661,3.914,2.040,0.9181,0.0000,0.0000,0.3216,1,5.210,2.040,2.560,1,TTC 2.0s | distance 5.2m | closing 2.6m/s | pred risk 0.97
